,geoid,countycode
0,1620000US0800760,[8071]
1,1620000US0800925,[8121]
2,1620000US0801090,[8003]
3,1620000US0801530,[8093]
4,1620000US0802355,[8021]
5,1620000US0803235,[8073]
6,1620000US0803455,"[8001, 8059]"
7,1620000US0803620,[8097]
8,1620000US0803950,[8123]
9,1620000US0804000,"[8001, 8005, 8035]"
10,1620000US0804110,[8037]
11,1620000US0804935,"[8037, 8097]"
12,1620000US0805265,[8067]
13,1620000US0806090,"[8001, 8005]"
14,1620000US0806255,"[8069, 8123]"
15,1620000US0806530,[8063]
16,1620000US0807025,[8047]
17,1620000US0807190,[8023]
18,1620000US0807410,[8117]
19,1620000US0807571,[8109]
20,1620000US0807795,[8101]
21,1620000US0807850,[8013]
22,1620000US0808070,"[8005, 8059]"
23,1620000US0808345,[8071]
24,1620000US0808400,[8117]
25,1620000US0808675,"[8001, 8123]"
26,1620000US0809115,[8043]
27,1620000US0809280,[8014]
28,1620000US0809555,[8087]
29,1620000US0810105,[8015]
30,1620000US0810600,[8063]
31,1620000US0811260,[8041]
32,1620000US0811645,[8009]
33,1620000US0811810,[8043]
34,1620000US0812030,[8045]
35,1620000US0812045,[8045]
36,1620000US0812387,[8035]
37,1620000US0812415,[8035]
38,1620000US0812635,[8029]
39,1620000US0812815,[8005]
40,1620000US0812855,"[8105, 8109]"
41,1620000US0812910,"[8019, 8047]"
42,1620000US0813460,[8089]
43,1620000US0813845,[8005]
44,1620000US0814175,[8017]
45,1620000US0814765,[8079]
46,1620000US0815330,[8043]
47,1620000US0815550,[8071]
48,1620000US0815605,[8077]
49,1620000US0816000,[8041]
50,1620000US0816385,[8005]
51,1620000US0816495,[8001]
52,1620000US0817375,[8083]
53,1620000US0817760,[8081]
54,1620000US0817925,[8029]
55,1620000US0818310,[8051]
56,1620000US0818420,[8109]
57,1620000US0818530,[8119]
58,1620000US0818640,[8075]
59,1620000US0818750,[8025]
60,1620000US0819080,[8123]
61,1620000US0819355,[8077]
62,1620000US0819630,[8005]
63,1620000US0819795,[8105]
64,1620000US0819850,[8029]
65,1620000US0820000,[8031]
66,1620000US0820440,[8117]
67,1620000US0820495,[8081]
68,1620000US0820770,[8083]
69,1620000US0821265,[8033]
70,1620000US0822035,[8067]
71,1620000US0822145,[8061]
72,1620000US0822200,[8037]
73,1620000US0822860,[8123]
74,1620000US0823025,[8125]
75,1620000US0823135,[8059]
76,1620000US0823740,[8039]
77,1620000US0824620,[8019]
78,1620000US0824785,[8005]
79,1620000US0824950,"[8013, 8123]"
80,1620000US0825115,[8069]
81,1620000US0825280,[8123]
82,1620000US0825610,[8093]
83,1620000US0826270,[8001]
84,1620000US0826600,[8123]
85,1620000US0826765,[8063]
86,1620000US0826875,[8075]
87,1620000US0827040,[8043]
88,1620000US0827425,[8069]
89,1620000US0827700,[8123]
90,1620000US0827810,[8087]
91,1620000US0827865,[8041]
92,1620000US0827975,[8089]
93,1620000US0828105,[8005]
94,1620000US0828305,[8049]
95,1620000US0828360,[8123]
96,1620000US0828690,[8117]
97,1620000US0828745,[8077]
98,1620000US0829185,[8123]
99,1620000US0829680,[8073]
100,1620000US0829735,[8019]
101,1620000US0829955,[8123]
102,1620000US0830340,[8005]
103,1620000US0830780,[8045]
104,1620000US0830835,[8059]
105,1620000US0831550,[8099]
106,1620000US0831605,[8049]
107,1620000US0831660,[8077]
108,1620000US0831715,[8049]
109,1620000US0832155,[8123]
110,1620000US0832650,"[8041, 8119]"
111,1620000US0833035,[8005]
112,1620000US0833310,[8123]
113,1620000US0833640,[8051]
114,1620000US0833695,[8037]
115,1620000US0834520,[8099]
116,1620000US0834740,[8061]
117,1620000US0834960,[8095]
118,1620000US0835070,[8107]
119,1620000US0836610,[8087]
120,1620000US0837215,[8099]
121,1620000US0837270,[8095]
122,1620000US0837380,[8003]
123,1620000US0837545,[8029]
124,1620000US0837600,[8049]
125,1620000US0837820,[8123]
126,1620000US0837875,[8073]
127,1620000US0838370,[8019]
128,1620000US0838535,[8067]
129,1620000US0838590,[8075]
130,1620000US0839195,[8013]
131,1620000US0839855,"[8069, 8123]"
132,1620000US0839965,[8115]
133,1620000US0840185,[8123]
134,1620000US0840515,[8123]
135,1620000US0840570,[8071]
136,1620000US0840790,[8039]
137,1620000US0841010,[8017]
138,1620000US0841560,[8049]
139,1620000US0841835,[8013]
140,1620000US0842055,[8021]
141,1620000US0842110,[8089]
142,1620000US0842330,[8053]
143,1620000US0842495,[8059]
144,1620000US0843000,[8059]
145,1620000US0843110,[8099]
146,1620000US0843550,[8035]
147,1620000US0843605,[8123]
148,1620000US0843660,[8011]
149,1620000US0844100,[8055]
150,1620000US0844320,[8065]
151,1620000US0844980,[8073]
152,1620000US0845255,"[8005, 8035, 8059]"
153,1620000US0845530,"[8001, 8123]"
154,1620000US0845695,[8087]
155,1620000US0845955,[8035]
156,1620000US0845970,"[8013, 8123]"
157,1620000US0846355,[8013]
158,1620000US0846465,[8069]
159,1620000US0847070,[8013]
160,1620000US0848060,[8021]
161,1620000US0848115,[8083]
162,1620000US0848445,[8041]
163,1620000US0848500,[8089]
164,1620000US0848555,[8051]
165,1620000US0849600,[8123]
166,1620000US0849875,[8103]
167,1620000US0850040,[8075]
168,1620000US0850480,[8123]
169,1620000US0850920,[8037]
170,1620000US0851250,[8109]
171,1620000US0851635,[8105]
172,1620000US0851690,[8117]
173,1620000US0851745,[8085]
174,1620000US0851800,[8041]
175,1620000US0852075,[8059]
176,1620000US0852350,[8059]
177,1620000US0852550,[8113]
178,1620000US0852570,[8051]
179,1620000US0853120,[8085]
180,1620000US0853175,[8013]
181,1620000US0853395,[8045]
182,1620000US0854330,"[8001, 8123]"
183,1620000US0854880,[8113]
184,1620000US0854935,[8085]
185,1620000US0855045,[8123]
186,1620000US0855155,[8107]
187,1620000US0855540,[8085]
188,1620000US0855705,[8025]
189,1620000US0855870,[8113]
190,1620000US0855980,[8029]
191,1620000US0856145,[8025]
192,1620000US0856365,[8121]
193,1620000US0856420,[8091]
194,1620000US0856475,[8115]
195,1620000US0856860,[8007]
196,1620000US0856970,[8077]
197,1620000US0857025,[8041]
198,1620000US0857245,[8095]
199,1620000US0857300,[8029]
200,1620000US0857400,[8045]
201,1620000US0857630,[8035]
202,1620000US0858235,[8075]
203,1620000US0859005,[8123]
204,1620000US0859830,[8051]
205,1620000US0860160,[8123]
206,1620000US0860600,[8015]
207,1620000US0861315,[8009]
208,1620000US0862000,[8101]
209,1620000US0862660,[8041]
210,1620000US0862880,[8103]
211,1620000US0863045,[8123]
212,1620000US0863265,[8037]
213,1620000US0864090,[8033]
214,1620000US0864200,[8091]
215,1620000US0864255,[8045]
216,1620000US0864970,[8043]
217,1620000US0865190,[8089]
218,1620000US0865740,[8021]
219,1620000US0866895,[8101]
220,1620000US0867005,[8109]
221,1620000US0867280,[8015]
222,1620000US0867830,[8021]
223,1620000US0868105,[8023]
224,1620000US0868655,[8113]
225,1620000US0868930,[8115]
226,1620000US0869040,[8063]
227,1620000US0869150,[8123]
228,1620000US0869645,[8005]
229,1620000US0869700,[8061]
230,1620000US0870195,[8045]
231,1620000US0870250,[8027]
232,1620000US0870360,[8019]
233,1620000US0870525,[8117]
234,1620000US0870580,[8111]
235,1620000US0870635,[8039]
236,1620000US0871755,[8097]
237,1620000US0872395,[8105]
238,1620000US0873330,[8009]
239,1620000US0873715,[8071]
240,1620000US0873825,[8107]
241,1620000US0873935,[8075]
242,1620000US0874485,[8063]
243,1620000US0874815,[8025]
244,1620000US0875640,"[8013, 8059]"
245,1620000US0875970,[8089]
246,1620000US0876795,[8113]
247,1620000US0877290,"[8001, 8123]"
248,1620000US0877510,"[8069, 8123]"
249,1620000US0878610,[8071]
250,1620000US0879270,[8009]
251,1620000US0880040,[8037]
252,1620000US0880865,[8119]
253,1620000US0881030,[8009]
254,1620000US0881690,[8063]
255,1620000US0882130,[8057]
256,1620000US0882350,[8055]
257,1620000US0882460,[8009]
258,1620000US0882735,[8013]
259,1620000US0883230,[8069]
260,1620000US0883450,[8027]
261,1620000US0883835,"[8001, 8059]"
262,1620000US0884440,[8059]
263,1620000US0884770,[8087]
264,1620000US0885045,[8099]
265,1620000US0885155,[8043]
266,1620000US0885485,"[8069, 8123]"
267,1620000US0885705,[8049]
268,1620000US0886090,[8119]
269,1620000US0886310,[8125]
270,1620000US0886475,[8107]
271,1620000US0886750,[8125]
272,0550000US08001,[8001]
273,0550000US08003,[8003]
274,0550000US08005,[8005]
275,0550000US08007,[8007]
276,0550000US08009,[8009]
277,0550000US08011,[8011]
278,0550000US08013,[8013]
279,0550000US08015,[8015]
280,0550000US08017,[8017]
281,0550000US08019,[8019]
282,0550000US08021,[8021]
283,0550000US08023,[8023]
284,0550000US08025,[8025]
285,0550000US08027,[8027]
286,0550000US08029,[8029]
287,0550000US08033,[8033]
288,0550000US08035,[8035]
289,0550000US08037,[8037]
290,0550000US08039,[8039]
291,0550000US08041,[8041]
292,0550000US08043,[8043]
293,0550000US08045,[8045]
294,0550000US08047,[8047]
295,0550000US08049,[8049]
296,0550000US08051,[8051]
297,0550000US08053,[8053]
298,0550000US08055,[8055]
299,0550000US08057,[8057]
300,0550000US08059,[8059]
301,0550000US08061,[8061]
302,0550000US08063,[8063]
303,0550000US08065,[8065]
304,0550000US08067,[8067]
305,0550000US08069,[8069]
306,0550000US08071,[8071]
307,0550000US08073,[8073]
308,0550000US08075,[8075]
309,0550000US08077,[8077]
310,0550000US08079,[8079]
311,0550000US08081,[8081]
312,0550000US08083,[8083]
313,0550000US08085,[8085]
314,0550000US08087,[8087]
315,0550000US08089,[8089]
316,0550000US08091,[8091]
317,0550000US08093,[8093]
318,0550000US08095,[8095]
319,0550000US08097,[8097]
320,0550000US08099,[8099]
321,0550000US08101,[8101]
322,0550000US08103,[8103]
323,0550000US08105,[8105]
324,0550000US08107,[8107]
325,0550000US08109,[8109]
326,0550000US08111,[8111]
327,0550000US08113,[8113]
328,0550000US08115,[8115]
329,0550000US08117,[8117]
330,0550000US08119,[8119]
331,0550000US08121,[8121]
332,0550000US08123,[8123]
333,0550000US08125,[8125]
